zip,lat,lng
76110,32.70696,-97.33888
76111,32.77809,-97.29988
76112,32.74812,-97.21845
76114,32.77444,-97.40272
76115,32.67877,-97.33078
76116,32.72172,-97.44637
76117,32.80369,-97.26755
76118,32.79966,-97.20767
76119,32.69064,-97.26215
76120,32.77221,-97.17821
76123,32.61898,-97.39318
76126,32.63383,-97.51234
76127,32.77701,-97.43019
76129,32.7087,-97.36342
76131,32.88334,-97.34692
76132,32.66759,-97.41797
76133,32.65393,-97.37723
76134,32.64274,-97.33353
76135,32.83435,-97.46485
76137,32.8588,-97.29129
76140,32.6206,-97.2701
76148,32.86811,-97.25197
76155,32.82398,-97.04866
76164,32.78114,-97.35461
76177,32.97521,-97.3112
76179,32.9144,-97.43777
76180,32.83996,-97.22499
76182,32.88278,-97.20984
76201,33.22113,-97.14723
76205,33.19028,-97.12812
76207,33.22856,-97.18131
76208,33.20883,-97.05736
76209,33.23157,-97.10988
76210,33.15036,-97.096
76225,33.36444,-97.67311
76226,33.11035,-97.16947
76227,33.27392,-96.99052
76228,33.62099,-98.06028
76230,33.51993,-97.95469
76233,33.53626,-96.90828
76234,33.272,-97.51417
76238,33.48819,-97.35067
76239,33.51986,-97.54515
76240,33.65629,-97.17453
76244,32.93098,-97.28435
76245,33.82798,-96.84912
76247,33.09842,-97.32495
76248,32.92574,-97.22899
76249,33.2828,-97.3041
76250,33.63013,-97.23578
76251,33.62076,-97.68976
76252,33.68568,-97.38545
76253,33.61587,-97.31078
76255,33.82,-97.72916
76258,33.3719,-96.91965
76259,33.20016,-97.30705
76261,33.80065,-97.96329
76262,33.00948,-97.22581
76263,33.46746,-97.45338
76264,33.73974,-96.83528
76265,33.74828,-97.54502
76266,33.36725,-97.21416
76268,33.62759,-96.76741
76270,33.45613,-97.75203
76271,33.46699,-96.90778
76272,33.46625,-97.1289
76273,33.74558,-96.93354
76301,33.90561,-98.48
76302,33.86456,-98.49109
76305,33.99939,-98.39395
76306,33.9451,-98.52395
76308,33.85238,-98.54057
76309,33.89493,-98.54383
76310,33.7986,-98.51092
76311,33.96947,-98.50898
76351,33.56891,-98.67458
76354,34.09738,-98.62144
76357,34.08174,-98.18468
76360,33.96894,-98.96631
76363,33.48303,-99.542
76364,34.11368,-99.01676
76365,33.75812,-98.20162
76366,33.727,-98.78208
76367,33.97433,-98.72274
76370,33.53169,-98.88815
76371,33.48662,-99.64033
76372,33.25294,-98.919
76373,34.13069,-99.11397
76374,33.35974,-98.73818
76377,34.01483,-98.23963
76379,33.67016,-98.47541
76380,33.61862,-99.2424
76384,34.16774,-99.32555
76388,33.32169,-99.63092
76389,33.51579,-98.45822
76401,32.28259,-98.19882
76402,32.2164,-98.21729
76424,32.80509,-98.89861
76426,33.16683,-97.84266
76427,33.15546,-98.37755
76429,32.74099,-98.67419
76430,32.785,-99.2474
76431,33.31748,-97.85664
76432,31.84218,-98.79696
76433,32.3152,-98.01972
76435,32.25176,-98.85668
76436,31.86715,-98.22143
76437,32.39591,-99.02367
76442,31.89183,-98.61491
76443,32.13333,-99.21055
76444,32.11471,-98.56571
76445,32.2995,-98.55077
76446,32.07521,-98.34946
76448,32.40016,-98.80082
76449,32.91566,-98.32279
76450,33.0626,-98.62573
76452,31.75506,-98.3541
76453,32.5856,-98.34162
76454,32.20812,-98.729
76455,31.80575,-98.38355
76457,31.952,-98.02941
76458,33.21795,-98.1877
76459,33.27406,-98.38756
76460,33.30966,-98.49838
76462,32.52348,-98.02749
76463,32.45666,-98.41488
76464,32.5559,-99.16497
76466,32.43333,-98.73745
76469,32.34527,-99.19388
76470,32.50228,-98.66151
76471,32.11606,-98.98478
76472,32.60118,-98.17055
76474,31.97297,-98.79289
76475,32.65904,-98.49888
76476,32.36651,-97.91946
76481,32.9956,-98.74309
76483,33.18879,-99.27221
76484,32.75833,-98.28241
76486,33.02291,-98.0622
76487,32.97949,-97.88221
76490,32.94544,-98.01889
76491,33.03487,-99.05052
76501,31.07505,-97.25433
76502,31.09622,-97.41034
76504,31.13807,-97.37258
76508,31.07746,-97.36411
76511,30.80164,-97.42497
76513,31.05136,-97.49967
76518,30.84974,-97.15418
76519,30.99426,-97.04726
76520,30.87611,-96.90748
76522,31.21606,-97.97338
76523,30.78956,-97.29127
76524,31.26693,-97.20313
76525,31.48559,-98.14598
76527,30.84419,-97.80605
76528,31.42046,-97.76154
76530,30.71583,-97.42174
76531,31.6858,-98.18813
76534,30.88262,-97.37359
76537,30.81749,-97.60543
76538,31.64149,-97.89017
76539,31.08867,-98.00991
76541,31.11409,-97.72892
76542,31.0106,-97.74609
76543,31.13896,-97.64326
76544,31.14311,-97.76164
76548,31.05081,-97.64587
76549,31.01317,-97.82996
76550,31.08754,-98.22873
76554,30.97575,-97.3678
76556,30.70285,-96.82583
76557,31.29554,-97.39494
76559,31.07639,-97.60489
76561,31.41292,-97.53715
76565,31.64369,-98.351
76566,31.51053,-97.99616
76567,30.65,-97.00757
76569,30.94373,-97.22878
76570,31.08166,-96.93866
76571,30.93381,-97.58907
76573,30.81862,-97.50231
76574,30.58422,-97.38742
76577,30.62971,-97.16969
76578,30.53614,-97.2379
76579,31.197,-97.2637
76596,31.47755,-97.7296
76597,31.48643,-97.70685
76598,31.47533,-97.73546
76599,31.4679,-97.73518
76621,31.88299,-97.08594
76622,31.82204,-97.24398
76623,32.21038,-96.75658
76624,31.6566,-96.9596
76626,32.10623,-96.71536
76627,32.10741,-97.39448
76628,32.03143,-96.95221
76629,31.15492,-96.6554
76630,31.34051,-97.2209
76631,31.97451,-96.96749
76632,31.29873,-97.06009
76633,31.6781,-97.31732
76634,31.80782,-97.56147
76635,31.7284,-96.66385
76636,32.17157,-97.28592
76637,31.76614,-97.81682
76638,31.5498,-97.44461
76639,31.87246,-96.65574
76640,31.68989,-97.07077
76641,32.03449,-96.79489
76642,31.50133,-96.51758
76643,31.4538,-97.19366
76645,32.02172,-97.1336
76648,31.84718,-96.80272
76649,32.00077,-97.87751
76650,31.98357,-96.8604
76651,32.1807,-96.86697
76652,32.11575,-97.57043
76653,31.29809,-96.60818
76654,31.73054,-97.01427
76655,31.39608,-97.1774
76656,31.18466,-97.05859
76657,31.4458,-97.39449
76660,31.9243,-96.90239
76661,31.31864,-96.84932
76664,31.55795,-96.79575
76665,31.9135,-97.71631
76666,32.04403,-96.91737
76667,31.65532,-96.46855
76670,32.13146,-96.98936
76671,31.99488,-97.53198
76673,31.74945,-96.89139
76676,31.86551,-96.95103
76678,31.6555,-96.7588
76679,31.92429,-96.58564
76680,31.19335,-96.81792
76681,31.8933,-96.43509
76682,31.45363,-96.9059
76685,31.3533,-97.01114
76686,31.76592,-96.55798
76687,31.37174,-96.49932
76689,31.66662,-97.50416
76690,32.08226,-97.73324
76691,31.77816,-97.09626
76692,31.95806,-97.32888
76693,31.78599,-96.40642
76701,31.55202,-97.13858
76704,31.57679,-97.12697
76705,31.62656,-97.09606
76706,31.46653,-97.0912
76707,31.55371,-97.15818
76708,31.62687,-97.21135
76710,31.53875,-97.19525
